Saved Date,Job Url,Job Title,Company Name
"9/2/25, 5:26 AM",http://www.linkedin.com/jobs/view/4272419185,Nordic Profit Manager,Lenovo
"1/28/25, 1:34 AM",http://www.linkedin.com/jobs/view/4103351008,Ljusdesigner till ITAB,Poolia Sverige
"12/3/21, 12:36 PM",http://www.linkedin.com/jobs/view/2800371068,Bid Writer- Stockholm,Bid Solutions
"10/17/21, 9:07 AM",http://www.linkedin.com/jobs/view/2734490143,Construction Onshore Bid Manager,Vestas
"4/9/25, 7:34 PM",http://www.linkedin.com/jobs/view/4101307452,,
"9/16/25, 11:10 PM",http://www.linkedin.com/jobs/view/4291756847,Key Account Manager,Flokk
"8/9/24, 5:17 AM",http://www.linkedin.com/jobs/view/3918825548,TRY-OUT CREW,Baltic Lifejackets
"4/8/25, 8:24 AM",http://www.linkedin.com/jobs/view/4198080478,Jönköping University söker en Upphandlare,Jönköping University
"10/30/24, 4:06 PM",http://www.linkedin.com/jobs/view/4043360493,Projektledare,Jönköpings kommun
"9/9/24, 11:23 PM",http://www.linkedin.com/jobs/view/3999446015,Commercial/Bid Manager,Saab
"12/6/24, 4:35 AM",http://www.linkedin.com/jobs/view/4080784366,Project Manager till Linköping,Nordomatic
"4/23/24, 6:27 AM",http://www.linkedin.com/jobs/view/3889421729,Purchasing Digitalization Specialist,NCC
"10/5/24, 7:26 PM",http://www.linkedin.com/jobs/view/4022002981,Regional Design Manager,Bravida
"4/11/24, 1:02 PM",http://www.linkedin.com/jobs/view/3862379843,Marknadschef,Aura Light
"5/21/23, 10:59 AM",http://www.linkedin.com/jobs/view/3592356106,,
"8/31/25, 5:00 PM",http://www.linkedin.com/jobs/view/4224371158,Försäljning inom Informations och Cybersäkerhet,Atea Sverige
"12/30/24, 5:40 PM",http://www.linkedin.com/jobs/view/4088266173,Bid Manager till Sveriges bästa arbetsgivare - Castra,Castra
"6/6/25, 4:43 PM",http://www.linkedin.com/jobs/view/4231514306,Vi söker en Bid Manager som vill göra skillnad!,Saab
"1/15/25, 2:59 AM",http://www.linkedin.com/jobs/view/4101150725,Strategisk inköpare,Combitech Sverige
"10/26/24, 5:45 PM",http://www.linkedin.com/jobs/view/4044893318,Bid Manager | Saab Dynamics | Jönköping,Jefferson Wells Sverige
"7/15/25, 6:30 AM",http://www.linkedin.com/jobs/view/4257876949,Global Bid and Pricing Manager,Iyuno
"9/3/21, 7:47 AM",http://www.linkedin.com/jobs/view/2671811816,BID Manager,Tunstall Sverige
