Title,Description,Url,Started On,Finished On
InteriCAD Lite visualisering,Jag använder InteriCAD Lite för att visualisera inomhusprojekt. InteriCAD T5 är för utomhusmiljö och resultaten är i klass med exempelvis 3D studio Max.  Jag hjälper kunder med projekt när de tycker att InteriCAD Lite inte räcker till men kanske inte behöver uppgradera till InteriCAD T5. Jag tar gärna hand om mindre projekt där man behöver previsualisera rum!,http://blendljusdesign.se/intericad/,Mar 2011,
InteriCAD,Fast with good rendering performance! Personalize it for your needs. For sales for manufactures to single user designers.,www.intericad.se,Mar 2011,
