ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Budansvarig, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:106855749}]}}, facets={}}",3739064337
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Anbudsläggare, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102611007, radiusInKms=40.2335}]}}, facets={organizations={selectedValues=[urn:li:organization:163233]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3, urn:li:workplaceType:2]}}}",3657180625
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=""public bid manager"", searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:105117694}]}}, facets={}}",1719702107
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=""bid manager"", workflowContext={savedSearch=urn:li:savedSearch:1613713754}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:105117694}]}}, facets={}}",1613713754
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=Budansvarig, workflowContext={savedSearch=urn:li:savedSearch:1484021834}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103736033}]}}, facets={}}",1484021834
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=bid manager, workflowContext={savedSearch=urn:li:savedSearch:1484019014}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:105377254}]}}, facets={experienceLevels={selectedValues=[ASSOCIATE, MID_SENIOR_LEVEL]}}}",1484019014
