Name,Url,Authority,Started On,Finished On,License Number
 Kettle bell Instructor Spartan level 2,,Level 2,,,
Inbound Certified,,HubSpot Academy,Mar 2017,Apr 2018,
E-mail marketing Certified,,HubSpot Academy,May 2017,Jul 2018,
Creativity at Work: A Short Course from Seth Godin,https://www.linkedin.com/learning/certificates/3db3d618e811d1457cc7458945a9481ad90adb88cb4e7192d8ab706f13a906cc?trk=backfilled_certificate,LinkedIn,Dec 2021,,
